,Customer_Name,Date,Ratings,Review_Title,Reviews,Product_name,Price
0,Tech nerd,"November 13, 2020",5.0 out of 5 stars,Lightest laptop I have ever owned!,"Don't believe the negative reviews! This is a great laptop.The best thing about this laptop is the screen then the weight. The Qled screen is absolutely the best LCD screen on the market with superior brightness, saturation and color accuracy. The 13.3"" size screen in full HD is just beautiful and I believe they have applied an anti-reflective coating on the glass screen. So even though the screen is glossy there is very little refraction. The Ion is the only model with this AR coating. It is very similar to the 13"" macbook pro screen but not as high resolution. In other words unless you have an OLED panel you will not find a better looking screen on any other laptop!!The performance of this device is actually very good but I really think they could have used AMD Ryzen processors with much better results. The i7 this laptop uses is fast but it is not on the newer 10nm architecture which I would have preferred. I would have also preferred 12gb ram as a base for all models. All of that being said this thing is very fast for what it is. My complaints are more about future proofing. For what I use this laptop for it is very fast.Now to the build quality and other features. The build and design of this laptop is one of my favorites of 2020. It has excellent industrial design and minimal bezels. Fit and finish are very good but not perfect. The silver finish is very good at resisting fingerprints. The keyboard is excellent. The glass trackpad is also excellent and can charge your phone!Battery life is also very good. The claims by Samsung are inflated as are all battery life claims on a laptop but what I can say is for an ultra portable the 69 watt hour battery is very large and will get your through a solid day. That is with screen brightness on high, cpu performance set to high.The speakers on this laptop are great and get very loud and have a good amount of bass. You have to get updates for the drivers in samsung update and then adjust the settings in realtek audio console but once you do the sound is amazing. I look at how small this thing is and the sound coming out of it and I am impressed.To wrap it all up this is one of my favorite laptops to use. It is not a speed demon but it can handle it's own, it is super light and portable with great battery life. It does everything I need it to do and has a decent selection of ports including a thunderbolt 3 port. The fit and finish and design are all great. I really like the magnesium build. It does have some flex here and there because it is not using a thick piece of aluminum but a thinner stronger piece of Magnesium. I would just say that you should look for sales. The full retail price is too high IMO but the sale price is a good value considering the features you can only get in this laptop and the competition in the same price range.Samsung has really done an excellent job with it's offerings this year. I am very excited to see what is to come. Just add more ram next time!!",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
11,"Neb, Toronto","May 21, 2021",2.0 out of 5 stars,Laptop stopped working,"It just cannot boot, nothing happens other than the blue status light blinking when I press the power button. Samsung technical support in Canada where I reside claims that the warranty does not cover it here, as it is bought i the USA, although I was positive thee is an international warranty on these devices.After a lengthy exchange with Amazon and Samsung, I learned that international warranty does not exist, i.e. warranty is covered by Samsung only in country where the laptop is sold, but not country it is sold to.Here is Amazon's wording:""As I can see the International Warranty you are talking about is it is not answered by Amazon, that is why we need to reach out to the manufacturer to clarify because usually they are the one who are the one who handle the warranty not Amazon.I also checked the Product Detail Page and I don't see we offered International Shipping, you just saw it on the Q&A section which I confirmed that was answered by a random customer not Amazon nor Samsung"".As far as the laptop is concerned, it has a hardware issue and needs to be repaired, as diagnosed by Samsung US over the phone, so I will have to either pay for it as out-of-warranty repair here in Canada, or ship it to Samsung US, which would be costly and add time. I did notice from the start that battery life was nowhere close to advertised, so that might have been connected to the eventual breakdown.",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
12,plastus,"January 11, 2021",5.0 out of 5 stars,A great tablet.,"I have three others for over $ 1000.00. I already have 3 new, different good companies, I bought on the way when I was returning two months ago from breakfast, which now I decided to put out for the trash can. This Samsung is stand alone, beautiful and easy to replace guts. I inserted a 32GB memory card and two SSDs, each 1TB Sony Evo Pro 900. You have to be careful not to break the cover because it is not plastic or aluminum, but magnesium, light, brittle and delicate. I recommend it to anyone who likes nice sexy computers and I assure you that it will excite a woman and a man, I forgot to add that it is very fast.",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
13,Amazon Customer,"April 25, 2021",1.0 out of 5 stars,Read this review you will thank me later,"pros- bright nice display, cool color change if look at from different angel, can charge some phones using mousepad, cool  charging light indicator on cord, though cord could be longer, fingerprint button  sign in option , cord is small and thin and not bulky, very light can hold it easily in one hand, not hot like most laptops, boots up fast and shuts down fast, keys aren't real loud when typing, cooling fan isn't too loud.cons- speakers way too low  in sound because of the positioning of the speakers which are on the side or bottom it's kind of hard to tell the location but anyway quite low in volume, keyboard not smooth but kind of rough, no good audio software I was hoping samsung would have better software, they just used the standard windows audio package, I got rather spoiled on my old windows 7 samsung which has and still has the best software on a pc ive ever had, the mousepad could be improved as it's sometimes hard to control the mouse control and movement, NO TOUCH SCREEN, this was a big sad point for me cause I LOVE TOUCH SCREEN, this laptop most certainly needs this cause the mouse isn't that great. I can honestly say if the display wasn't so awesome I would have probably sent this laptop back but a good clear, good, bright display is very important to me. Samsung typically has good high quality displays. I just think for the price all the things I mentioned could have been included. I've never bought a laptop this expensive and was wanting more. I'd still buy it again as I haven't seen many high quality laptops as of lately.---UPDATE havent had this a year and already the wifi card is malfunctioning and paint is chipped badly on the laptop on the keyboard, looks horrific.",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
14,Amazon Customer,"October 15, 2020",4.0 out of 5 stars,Advertised as having 12GB's of memory...it doesn't.,"Inaccurate description of the product. It is advertised as having 12GB's of RAM the laptop I received has 8GB's of ddr4 2667MHz memory installed.  Also, advertised with the computer was an 8GB Crucial memory module. It is the wrong speed at 2400MHz and does not match the 2667MHz memory installed. It probably would work but at the slower speed of the 2400MHz module but it is not guaranteed.I didn't think that I would have these issues with Amazon.  My fault for not verifying before buying.",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
15,Adnan C.,"January 10, 2021",4.0 out of 5 stars,Good innovation of PowerShare.,A wonderful machine. PowerShare feature made me buy this product. PowerShare is a good option but you can either do a PowerShare or use the touchpad which I believe is a slight negative. PowerShare option should have been given away from touchpad. But it’s a good start at least. Fan is a bit noisy. Battery life really the best out of all Samsung series books. Overall an excellent value for money.,Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
16,Will,"April 1, 2021",5.0 out of 5 stars,Plenty of sound and Plenty of power with great looks as well!,"This is by far, one of the best laptops I’ve owned.  Super lite and super fast.  Not to mention how esthetically pleasing it is.  The one thing I think needs mentioned here is the sound from the speaker system.  Everyone is stating how poor the sound is.  Well I’m not sure what your expecting from a featherlight laptop, but I find the speaker system to be quite impressive.  It is plenty loud enough for any normal set of ears.  You won’t be disappointed in this laptop!",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
17,LivinInAZ,"July 21, 2020",5.0 out of 5 stars,"Great battery life, fantastically light, extremely well built.","Exceptional battery life. I use it all day (9-10 hours) without the screen ever turning off and I will end the day with about 60-65% battery left. I mostly use it for Visual Studio Code, Excel, Word, Outlook, and several browser based applications. Usually all running at once. It never has an issue with performance.It is incredibly lightweight, but extremely well built. The keyboard has great feel and lighting. The display is amazing. Bright and vivid. I also really like the wireless charging feature since it will easily outlast my phone. My only gripe is that it is not USB-C only charging. While you can do it, the primary charging source is a barrel charger.",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
18,Patricio,"November 3, 2021",5.0 out of 5 stars,I Love it,I love everything,Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
19,Amazon Customer,"August 22, 2020",5.0 out of 5 stars,Great laptop,"Fast, light, long battery life and it has everything that a laptop can possibly have.Some people don't like the keyboard and the placement of the touch security lock (right next to the Shift key). But I love the feeling of the keyboard and the lock doesn't bother me much (but sometimes it doesn't recognize my finger well).Samsung finally made it. Highly recommended.",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
20,Jack Lewis in Missouri,"March 19, 2021",5.0 out of 5 stars,No complaints,"It's fast, has a great bright display and the best battery life I've seen.  I only use it for general browsing and graphic arts development, but it doesn't lag at all.  I am very happy with this laptop.",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
21,Michael Helmandollar,"September 24, 2020",5.0 out of 5 stars,Description says 12gb ram. Its only manufactured from samsung with 8gb of ram.,"The item description is misleading. I checked out the samsung website and this model only comes with 8gb of ram. It is upgradeable. Other than that, the laptop is really nice and it quick. Its thin and light and is easy to work with. I highly recommend this product.",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
22,NJ buyer,"March 1, 2021",5.0 out of 5 stars,Very good laptop.,"I have been using this for 6 months and am very pleased with this purchase. The laptop is fast, very lightweight, has long battery life per charge and the display screen is sharp and vibrant.",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
23,michael Jessier,"January 18, 2021",5.0 out of 5 stars,Great computer but mouse pad and volume could be improved,"I love the computer but two things that i don't like, the mouse pad is too big and gets in my way when I type and the volume isn't loud enough",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
24,otoniel mora,"April 16, 2021",5.0 out of 5 stars,Amazing true colors on the screen display,"I like the  long lasting battery and the beautiful screen display colors ,  I use it for video and photography editing .",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
25,Jeffrey I. Sealy,"March 23, 2021",5.0 out of 5 stars,The Best of the Best,"This is the second Samsung ultrabook that I have had the first was a 2013 model, still going strong but this one is even better!!",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
26,Wow Reader,"February 19, 2021",3.0 out of 5 stars,Wish I read the reviews regarding bad speakers...,"This computer was not properly vetted before manufacture.  The speakers are REALLY bad.  Usually too quiet, and then I adjust it and sometimes (not often) it's far too loud.  It's therefore difficult to just crank up the volume.",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
27,Rauf,"June 10, 2020",4.0 out of 5 stars,Looks old,The tap looks good but looks used or old !,Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
28,YP,"April 23, 2021",5.0 out of 5 stars,Fast work,This is a wonderful laptop computer! So fast! So light!,Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
29,Come On You Irons,"January 1, 2021",2.0 out of 5 stars,"OK, but Not Impressed","Love this laptop when it's working OK.  However, we have to Force Power Down way too often to make it work it like it should, like every few days.  You click on one of the icons and it simply quits responding.  Even clicking on the Start button doesn't bring up anything.  So, overall not happy at all with this product, but it is such a pain reinstalling programs, copying files, etc.  I don't really know what to do.",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
30,JDP,"April 26, 2021",5.0 out of 5 stars,Solid,Awesome and great battery life,Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
31,Sumin Kim,"December 15, 2020",5.0 out of 5 stars,Great laptop,Great light weight laptop. Recommend adding a samsung 8gb RAM about $30,Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
32,OH JIHEONG,"December 10, 2020",5.0 out of 5 stars,I bought a lightweight and high-performance laptop at a cheap price.,I bought a lightweight and high-performance laptop at a cheap price.,Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
33,Liz B.,"November 8, 2021",1.0 out of 5 stars,This ain't Mexico,"And here I thought I was getting a great little laptop (since all my Samsung phones worked so well) and what did I get? A laptop that is convinced it was born and raised in mexico, and coming to Washington state makes not one bit of difference.  I worked on it for several hours, but even the online owners manual didn't help.  My husband loves to state the obvious and says I'm too easily persuaded to buy something ""Renovated"" (cheap)  Guess I will not do that any more.",Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
34,Kindle Customer,"July 14, 2020",5.0 out of 5 stars,Can't lose with a Samsung,This is my second Samsung laptop. Can't think of any reason I'd buy a different brand.,Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
35,sunmi SHIN,"December 23, 2020",5.0 out of 5 stars,Perfection,Beautiful design and fast process,Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
36,seunghyeonlee,"December 18, 2020",5.0 out of 5 stars,good notebook,very good and good price,Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
37,Noel Kwangjun Moon,"February 28, 2021",5.0 out of 5 stars,Great,Great!,Samsung Galaxy Book Ion 15.6” Laptop| QLED Display and Intel Core i7 Processor | 8GB Memory | 512GB SSD | Long Battery Life and Windows 10 Operating System | (NP950XCJ-K01US),&1291
