,Customer_Name,Date,Ratings,Review_Title,Reviews,Product_name,Price,Category
10,Amazon Customer,2020,5,Love it,Best for money,"2021 Newest Dell Inspiron 14"" 2-in-1 HD Touchscreen Laptop, 11th Gen Intel Core i3-1115G4, 8GB DDR4 Memory, 256GB PCIe SSD, Webcam, HDMI, WiFi, Backlit Keyboard,Win10 Home, Silver",598,dell
11,Mark Roland,2020,1,item didn't work,Item did not function. It was returned.,"2021 Newest Dell Inspiron 14"" 2-in-1 HD Touchscreen Laptop, 11th Gen Intel Core i3-1115G4, 8GB DDR4 Memory, 256GB PCIe SSD, Webcam, HDMI, WiFi, Backlit Keyboard,Win10 Home, Silver",598,dell
12,JK917,2020,5,Good laptop for a reasonable price.,"It was a Christmas present for my son. Thin, lightweight, nice design. Good quality for the price. Much better than HP I have. Will have to save up and get one for myself. Tired of slow performance of the HP.","2021 Newest Dell Inspiron 14"" 2-in-1 HD Touchscreen Laptop, 11th Gen Intel Core i3-1115G4, 8GB DDR4 Memory, 256GB PCIe SSD, Webcam, HDMI, WiFi, Backlit Keyboard,Win10 Home, Silver",598,dell
13,Micael Jeffries,2021,5,Feels good and easy to covert to tablet,"All good. The size, weight, and feel was very good. Not too heavy and easy to flip opennin tablet mode.","2021 Newest Dell Inspiron 14"" 2-in-1 HD Touchscreen Laptop, 11th Gen Intel Core i3-1115G4, 8GB DDR4 Memory, 256GB PCIe SSD, Webcam, HDMI, WiFi, Backlit Keyboard,Win10 Home, Silver",598,dell
14,Michael,2021,5,Good price for 2 in 1,Great computer. The touch is not as responsiveas I would like.  Tent option is good for watching media although the glossy screen makes it a little hard to see.,"2021 Newest Dell Inspiron 14"" 2-in-1 HD Touchscreen Laptop, 11th Gen Intel Core i3-1115G4, 8GB DDR4 Memory, 256GB PCIe SSD, Webcam, HDMI, WiFi, Backlit Keyboard,Win10 Home, Silver",598,dell
15,Jaxon walters,2022,5,Very happy!,Works very well and fast!,"2021 Newest Dell Inspiron 14"" 2-in-1 HD Touchscreen Laptop, 11th Gen Intel Core i3-1115G4, 8GB DDR4 Memory, 256GB PCIe SSD, Webcam, HDMI, WiFi, Backlit Keyboard,Win10 Home, Silver",598,dell
16,Kindle Customer,2021,4,"Pricey, low wifi, but runs really well.","I love how lightweight this laptop is. Its easy to use and the touchscreen offers even more options. A coupke things to note when buying: you will need to do updates right away, wifi strength is not the greatest, battery life could be better but charges quickly, get a screen protector, understand what the safe mode offers. Overall great product,  but maybe a little pricey.","2021 Newest Dell Inspiron 14"" 2-in-1 HD Touchscreen Laptop, 11th Gen Intel Core i3-1115G4, 8GB DDR4 Memory, 256GB PCIe SSD, Webcam, HDMI, WiFi, Backlit Keyboard,Win10 Home, Silver",598,dell
17,Cthulhu_013,2022,4,It's ok.,"Very lightweight and portable. Works fine and seems to be decent quality. Downsides are the touch pad doesn't work well (very little control, cursor goes everywhere) which means you need to buy a Bluetooth enabled mouse. It doesn't work well with my HP printer. It honestly sees the printer as a virus. Had to buy a different printer. Also, battery life is lacking. It drains quickly even when. Laptop is off.  If had to purchase again I would have gone with a bigger more powerful laptop.","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
18,Eduardo Paz,2022,3,Decepcionado,"This product is promoted as a laptop with a long battery life, at most it is really 4 hours of normal use such as viewing social networks, videos and zoom. An important detail is that fingerprint recognition fails quite a bit, and the worst thing is the definitely bad trackpad (mouse). It stays stuck at all times. All this combined makes for a lackluster user experience.--------------------------------Se promociona este producto como una portátil con batería de larga vida, a lo sumo son 4 horas realmente de uso normal como ser ver redes sociales, videos y zoom. Un detalle importante es que falla bastante el reconocimiento de la huella dactilar, y lo peor es el trackpad (mouse) definitivamente malo, no hay otra forma de exponerlo. Se queda pegado a cada momento. Todo esto combinado hace que la experiencia de usuario sea mediocre.","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
19,Steve,2021,4,,,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
20,C. A. Hauer,2021,5,Satisfied with purchase,"When I was deciding on which laptop to buy, well, I read the feedback. First, this is not a gamer laptop, I don't think it's even advertised as such. So, I discounted all the unhappy gamers that were unwilling to dig into their pockets to buy a laptop geared to gaming and instead bought this one, only to be unhappy with the results of their own poor judgement, then proceed to blame the laptop. Moving along. I run my business from my laptop. Thats what the laptop is geared for, business (or personal) use. Excellent graphics. I run my website and accounting software on it, no issues. It's compact, seems fairly sturdy, keyboard is backlit and is a nice size for such a small laptop. My only complaints with this laptop are the battery, like I wish it held a charge longer, but this seems to be an issue with most laptops. I also have a hard time plugging in my USB drive, it does fit in there, but it's a struggle. But overall, I'm very happy with this laptop. 16g ram, i7 processor (11th gen), adequate storage.","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
21,Miguel Ramos Núñez,2022,5,Good budget ultralight laptop,"Overall, I think this is a good quality budget ultralight. I use it as an ancillary computer at work. On battery, it averages about 8 hrs of continuous use ( I use the balanced power mode), which is mostly web browsing, and checking emails. I have not tried out the camera since I hardly ever use it; I like the idea of the sliding cover. The small footprint and 16:10 aspect are perfect for transporting in a backpack and viewing pdf files. The keyboard and trackpad are the weakest components  of this laptop but I use an external mouse and most typing is done on the desktop. The overall build quality good and the port selection is more than adequate. The screen is good quality and for the price meets my expectations. I upgraded to windows 11 with no issues. The 11370H tiger lake cpu and 16 gb ddr4 lpddr we’re my other requirements for a windows laptop in this price range. The fans will ramp up when doing an update but given the size of the machine, this is expected. Keeping it on ac when doing an update appears to minimize the issue. I am more than satisfied with this machine and highly recommend it as a good budget business ultralight.","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
22,Redque,2022,1,"El servicio excelente, la entrega muy rápida","El producto es muy bueno, una marca muy buena con buen respaldo","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
23,MILT  GREER,2021,4,,,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
24,Liam Manning,2022,3,"Touchpad is bad, Dell service is worse","The touchpad has been defective from the day I received the laptop, but I generally like it so I contacted Dell customer service for options. They strung me along, offered help and every time it was scheduled, they conveniently had problems that they had to reschedule for. Dell kept closing the service requests and marking them as complete and I kept opening new ones. This happened several times and they deny it until I upload documentation. They strung me along past the Amazon return policy so now I'm stuck. Dell finally agreed to replace it with a new laptop which is a huge inconvenience, but now I just keep getting told to wait (I contact Dell service every day now because they will apparently close the service request if you don't contact them on an unidentified number of days, yet they seem mad that I call in every day as they instructed me to do). Wait. Wait. Two more days. Two more days. Two more days. Wait until they contact you. Just keep waiting. Dell has turned into a garbage company that just wants to throw garbage out and reap the money but never have to talk to customers or take care of their defects. Laptop is okay for now, Dell is terrible and I will never buy a Dell product again.","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
25,Christopher Savino,2022,4,Impressed with Dell service !,"I had a problem with screen colors and background .  Dell was quick to identify the problem that required the replacement of the screen.  With in a of discovery of the problem, that had a service technician at my house to replace the part .  I'm happy with the computer .","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
26,Avo,2022,5,"Its okay, but not worth the pice","I bought this laptop back in June of 2021 and it worked great for several months. However, the speakers are now starting to go and it can have issues booting up. Overall, its a decent laptop and I have been able to game on it and push it, but I would advise you that its better to buy a different laptop if you want it to last longer than a year before having issues. Also, it can get very hot due to the flawed fan design.","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
27,Disappointed ,2021,5,Bloated,"This is a really nice laptop, however it came with loads of bloatware. Made it really slow.  Took a while to determine what software I needed to remove in order to preserve the battery life. Only have had it for a few months now, but getting adjusted. Overall it’s  not a bad laptop. Just have to adjust it, and remove the software that you don’t need and purchase a better virus protection program, it comes with a renewable mckafee license. Even though I’ve had it for a few months,  adjustments are never ending,  The tracking, and advertisement  on Google, email and mostly every tab  is insane. Still trying to manage content safely and with less advertising.Amazingly slow…","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
28,Patrick,2022,4,needs one more usb port.,i like the light weight but needs one more usb port,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
29,Customer,2022,5,Great Laptop,This laptop has been amazing. Fast and light weight. Very Pleased,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
30,Jose,2022,4,Good laptop but,Keypad is not up to mark. Except that it's good,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
31,Keith Grant,2022,4,As expected,"Excellent unit, light weight, excellent construction. fast","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
32,Texas BellyDancer,2021,5,Very nice prosumer laptop,"I have had several Dell laptops and this one is just as good as any of the others I have had.  It is very quick, very light weight and the battery lasts almost as long as my Macbook Pro M1.  I use this for work and it runs the full day while using MS Office apps all day, surfing the internet and doing MS Teams calls.  Very nice laptop with just the right amount and type of ports.","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
33,ThatGuyWithTheFace,2021,2,Great pc but runs hot,"I bought this laptop for work but after turning it on and trying to update everything to the latest and greatest I got BSOD. It didn't dawn on me at first to check the temp as I was running this connected to multiple monitors and I didn'tactuallyhave it in my lap. So I ran mem tests, checked event logs etc. Everything came back fine. Fired it up to full functionality and after about 30 mins on just browsing the web, BSOD again. This time checking the laptop it was hot enough that it didn't want to touch it much. So I let it cool and put a laptop cooler under it and it has worked great since. This is a design flaw I believe as to where the vents are located slightly below the inner portion of the hinge from the lid.  The pc itself is great. It's fast, great graphics after I was able to keep it cool to push it and runs many applications at once including teams IDEs, etc. If I had it to do over knowing this I wouldn't buy it again It's a serious design flaw.","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
34,oswal31,2021,2,Mala experiencia con esta compra,"Les cuento, necesitaba una nueva laptop para trabajar, ya que soy freelance. Mi laptop anterior, de otra marca, les puedo decir que no tengo queja alguna, todo funcionaba a la perfección. Ahora adquirí este equipo, nunca había comprado DELL, mas que todo por el precio, ya que tenía la otra marca como primera opción, pero como no bajo de precio, me fui por esta Inspiron 13. Tengo tres problemas con este equipo, uno es el touchpad que no esta funcionando correctamente. Este deja de funcionar por unos segundos y luego vuelve a funcionar. Es bastane estresante cuando estas realizando algo de urgencia y pasa este inconveniente. También he notado que la duración de la batería no es muy buena, la carga se va agotando bastante rápido. Otro problema es que se calienta un poco el equipo y adicional el ruido de los abanicos. En el mercado hay otras mejores opciones, yo ahora tengo problemas con la garantía por estar fuera de Estados Unidos, al final todo un desastre.","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
35,Kinamon Skeletal,2021,3,,,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
36,Fabio,2022,5,"thermel, thermel, thermel and thermel","Maybe because the fan is small, it's too hot.So I put 2mm thermal pad all over the pipes.Also, ssd is a bit slow, so I replaced it with hynix p31.And put 2mm thermal pad on ssd.So I got better.Sorry, my English.캉쿡킨뿐뜰 잉컹 상징망셍용. 열 전나 시매효...쓸로틀링 때메 캥고샘항...","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
37,Salvador Torres,2022,5,SUPER NOISY,It is super noisy after you update it even without running anything heavy,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
38,Jeffrey Ho,2022,5,Works wells,"I needed a reasonably price, powerful yet portable computer to work on big spreadsheets and this fit the bill. Love the solid state drive for fast startups.","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
39,Amazon Customer,2022,5,Best Ultrabook for the price in my opinion.,We have bought two of these now and for the price is an impressive little machine.,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
40,Sammy Stricklin,2022,5,Dell laotop,This is my fourth Dell laptop in the last twenty years. Each one has been progressively better. I’m pleased with my purchase. Good quality and really good price.,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
41,Isabel Jaramillo Peralta,2021,1,SUPUESTO ERROR EN MEMORIA Y EL BIOS,,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
42,Vince,2021,1,,The media could not be loaded.,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
43,Jess,2022,5,It's not worth the hassle," Adquirí la computadora el 07/JUL/2021 y ayer 16/AGO/2021 presentó esa falla documentada, entonces en conclusión se registra una falla en MEMOPRIA o BIOS que eso sería un error delicado y de fábrica, como ven en la 4ta foto, ya el error se registra desde el 27 de julio del 2021, es decir que estaría dentro de los 30 dias de garantía con AMAZON, así que estaría en todo el derecho que ellos respondan con su garantía, sin embargo me responden que ya pasó la garantia porque lo he comunicado hoy dia y ya pasó 30 dias, pero es relativo el tiempo, es una máquina que no tiene mas de UN mes y medio y que se presente este tipo de error, que es grave, no me puedan ayudar. Ahora me pasan a que me asista el FABRICANTE. Espero que me puedan dar solución, porque así AMAZON perdería la confianza que tengo con ellos. Y lo otro es que este equipo te colocan que tiene 4.8 GHz y cuando revisé ayer solo tiene 3.0 GHz, ahi envio la foto. Para que lo tengan en cuenta antes de comprar.","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
44,Jacob Wagner,2021,5,good laptop,,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
45,SC,2022,1,Price to performance powerhouse,"Other statements made about this laptop that claim it's flaws.....they are correct.Track pad never worked well out of the box. Multiple crashes both on Windows 10 and Windows 11. I did everything anyone with advanced computer knowledge and skills could do.A laptop with these specs and at this price should not run as if it's a 2001 gateway laptop. Even when it would work, it would get too hot for light tasks. I could not even make the attempt of doing any video editing on this in fear it would just melt the device and I would not be able to return it.If you are in the market for the best display, the right high end specs and portable, do not go with this one. Even the keyboard was junk. It should not feel as if I am typing on a 200 dollar Chromebook. It has that premium price with bargin feel. Never should be that way.","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
46,Andrea Q.,2021,5,Worst computer I've ever owned,good laptop for my personal use.,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
47,Dianna Coles Lee-Sam,2021,5,Great and Easy to use,"I needed a computer for school. This one is light, compact and easy to use.","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
48,Gérmito Nieves,2021,5,Muy buen equipo.,Muy buen equipo.,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
49,Canada,2022,1,,,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
50,Akash,2021,5,Subpar laptop for mid-grade price,"I’ve owned this laptop for approximately 9 months and it reminds me of a Toshiba satellite laptop I owned back in 2003. It’s 2022 man, what gives!! Battery life is good and all, but what about overall performance or just working in general?! It even has trouble streaming a video. Current smartphones have better processing than this “computer”","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
51,Stephen,2021,3,"Its super good, light weight, compact and has good specs","Been using it for a month now, I'd say it's working really good","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
52,AliZzZ,2022,1,Overheats when playing games,Overheats when playing games,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
53,Mohamed,2021,5,Horrible experience!,,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
54,frederick curry,2021,5,Excellent,The media could not be loaded.,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
55,Andres Montero,2021,2,Size and speed!," I bought this computer it's brand new, it had some specifications that were enough for a person like me to do my job, it's not possible that after a few simple programs(downloaded Chrome, zoom, slack Dropbox, anydesk and an antivirus) now the computer is running slow and it gets frizzed. It costed enough money, so it should have offered better performance. It does not respond to opening settings, it does nothing now! I can't believe this is happening.","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
56,EASY INSTALL,2022,1,Producto Caro de mala calidad,Excellent,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
57,Xander,2021,1,Dell will not support their systems- this is a POS,"Worked for about 2 weeks. Then the system started acting up. It sounds like a jet engine even when just sitting there. The touchpad randomly becomes unresponsive. It won't reconnect to a dock without resetting everything.Contacted Dell since was past the return for Amazon. Dell sent a ton of random things to try over the course of two weeks. Nothing worked. Asked them for a return, they said it is past 30 days, nothing they can do. So I'm stuck with this junky piece of plastic.Don't buy Dell","Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
58,Leslie Oschmann,2022,1,Horrible- worked one day. Even worse: return to Amazon experience. Never again.,Bad processor card- brand new computer!,"Dell Inspiron 13 5310, 13.3 inch QHD (Quad High Definition) Laptop - Thin and Light Intel Core i7-11370H, 16GB DDR4 RAM, 512GB SSD, NVIDIA GeForce MX450, Dell Services - Windows 10 Home",585,dell
